gene	chr	start	stop
None	chr1	1	65418
OR4F5	chr1	65419	71585
None	chr1	71586	450739
OR4F29	chr1	450740	451678
None	chr1	451679	685715
OR4F16	chr1	685716	686654
None	chr1	686655	923922
SAMD11-NOC2L	chr1	923923	959309
None	chr1	959310	960583
KLHL17	chr1	960584	965719
None	chr1	965720	966481
PLEKHN1-PERM1	chr1	966482	982093
None	chr1	982094	998961
HES4	chr1	998962	1000172
None	chr1	1000173	1001137
ISG15	chr1	1001138	1014540
None	chr1	1014541	1020119
AGRN	chr1	1020120	1056118
None	chr1	1056119	1070966
RNF223	chr1	1070967	1074306
None	chr1	1074307	1081817
C1orf159	chr1	1081818	1116361
None	chr1	1116362	1173879
TTLL10	chr1	1173880	1197936
None	chr1	1197937	1203507
TNFRSF18	chr1	1203508	1206592
None	chr1	1206593	1211339
TNFRSF4	chr1	1211340	1214153
None	chr1	1214154	1216908
SDF4	chr1	1216909	1232067
None	chr1	1232068	1232236
B3GALT6	chr1	1232237	1235041
None	chr1	1235042	1242445
C1QTNF12	chr1	1242446	1246722
None	chr1	1246723	1253908
UBE2J2	chr1	1253909	1273864
None	chr1	1273865	1280435
SCNN1D	chr1	1280436	1292029
None	chr1	1292030	1292389
ACAP3-PUSL1-INTS11	chr1	1292390	1324687
None	chr1	1324688	1324755
CPTP	chr1	1324756	1328896
None	chr1	1328897	1331279
TAS1R3-DVL1	chr1	1331280	1349418
None	chr1	1349419	1352688
MXRA8	chr1	1352689	1361777
None	chr1	1361778	1373729
AURKAIP1	chr1	1373730	1375207
None	chr1	1375208	1385710
CCNL2	chr1	1385711	1399335
None	chr1	1399336	1401908
MRPL20	chr1	1401909	1407293
None	chr1	1407294	1418419
ANKRD65	chr1	1418420	1421769
None	chr1	1421770	1425870
TMEM88B	chr1	1425871	1430255
None	chr1	1430256	1434860
VWA1	chr1	1434861	1442882
None	chr1	1442883	1449688
ATAD3C	chr1	1449689	1470163
None	chr1	1470164	1471764
ATAD3B	chr1	1471765	1497848
None	chr1	1497849	1512161
ATAD3A	chr1	1512162	1534685
None	chr1	1534686	1534777
TMEM240	chr1	1534778	1540624
None	chr1	1540625	1541672
SSU72	chr1	1541673	1574863
None	chr1	1574864	1598011
FNDC10	chr1	1598012	1600135
None	chr1	1600136	1615453
MIB2	chr1	1615454	1630605
None	chr1	1630606	1632162
