cpg	chr	start	stop
cpg.1	chr1	28735	29737
cpg.2	chr1	135124	135563
cpg.3	chr1	199251	200121
cpg.4	chr1	368792	370063
cpg.5	chr1	381172	382185
cpg.6	chr1	491107	491546
cpg.7	chr1	597839	598734
cpg.8	chr1	609358	611269
cpg.9	chr1	778604	779167
cpg.10	chr1	827036	828065
cpg.11	chr1	853483	853831
cpg.12	chr1	866595	866958
cpg.13	chr1	869818	870248
cpg.14	chr1	904314	905239
cpg.15	chr1	908919	910503
cpg.16	chr1	919385	919593
cpg.17	chr1	923590	926252
cpg.18	chr1	933952	934964
cpg.19	chr1	935577	935956
cpg.20	chr1	936259	936492
cpg.21	chr1	940225	942983
cpg.22	chr1	950976	951222
cpg.23	chr1	958933	967274
cpg.24	chr1	970916	971158
cpg.25	chr1	976046	979425
cpg.26	chr1	984346	984547
cpg.27	chr1	998007	1002030
cpg.28	chr1	1013290	1013514
cpg.29	chr1	1013949	1014471
cpg.30	chr1	1019388	1020963
cpg.31	chr1	1028415	1029127
cpg.32	chr1	1032586	1034858
cpg.33	chr1	1040116	1044925
cpg.34	chr1	1045688	1046020
cpg.35	chr1	1046772	1047131
cpg.36	chr1	1047794	1048232
cpg.37	chr1	1048826	1049049
cpg.38	chr1	1054894	1055314
cpg.39	chr1	1056298	1056699
cpg.40	chr1	1059056	1059923
cpg.41	chr1	1064298	1064531
cpg.42	chr1	1067283	1069938
cpg.43	chr1	1071836	1072253
cpg.44	chr1	1076129	1078022
cpg.45	chr1	1080679	1080980
cpg.46	chr1	1081483	1082059
cpg.47	chr1	1082719	1083010
cpg.48	chr1	1084438	1084646
cpg.49	chr1	1087763	1087967
cpg.50	chr1	1088695	1089234
cpg.51	chr1	1090997	1091245
cpg.52	chr1	1092129	1092350
cpg.53	chr1	1110664	1110960
cpg.54	chr1	1115135	1117065
cpg.55	chr1	1136989	1137467
cpg.56	chr1	1157831	1158096
cpg.57	chr1	1162663	1165204
cpg.58	chr1	1173934	1174765
cpg.59	chr1	1197447	1197838
cpg.60	chr1	1200980	1201776
cpg.61	chr1	1206290	1206770
cpg.62	chr1	1210188	1210498
cpg.63	chr1	1211328	1211534
cpg.64	chr1	1213675	1214144
cpg.65	chr1	1217142	1217754
cpg.66	chr1	1218404	1219039
cpg.67	chr1	1222937	1223222
